nprocs, mpi, omp, serial, speedupMPI,speedupOMP,EfficiencyMPI,EfficiencyOMP
1,34.82,30.5507,25.11,0.72,0.82,0.72,0.82
2,32.51,15.69,25.12,0.77,1.6,0.39,0.80
4,17.62,9.31,25.13,1.43,2.7,0.36,0.68
8,15.56,6.36,25.12,1.61,3.95,0.20,0.49
16,16.4,5.82,25.12,1.53,4.32,0.10,0.27
24,18.58,5.7,25.12,1.35,4.41,0.06,0.18
32,17.76,6.01,25.12,1.41,4.18,0.04,0.13
48,16.22,6.07,25.12,1.55,4.14,0.03,0.09
